DATE,DAILY RAINFALL,TEMP MEAN,TEMP MAX,TEMP MIN
2013-01-01 00:00:00,0.0,21.11111111111111,22.22222222222222,15.0
2013-01-02 00:00:00,1.5239999999999998,23.333333333333336,23.88888888888889,17.22222222222222
2013-01-03 00:00:00,0.0,22.77777777777778,23.88888888888889,20.555555555555557
2013-01-04 00:00:00,3.8099999999999996,21.11111111111111,22.22222222222222,16.666666666666668
2013-01-05 00:00:00,0.254,23.333333333333336,25.0,17.22222222222222
2013-01-06 00:00:00,0.0,23.333333333333336,24.444444444444446,18.88888888888889
2013-01-07 00:00:00,7.365999999999999,24.444444444444446,26.11111111111111,18.88888888888889
2013-01-08 00:00:00,0.0,24.444444444444446,26.11111111111111,21.666666666666668
2013-01-09 00:00:00,0.508,20.0,23.88888888888889,18.88888888888889
2013-01-10 00:00:00,9.906,20.0,21.666666666666668,15.555555555555557
2013-01-11 00:00:00,7.112,21.666666666666668,22.77777777777778,20.555555555555557
2013-01-12 00:00:00,19.812,22.77777777777778,23.88888888888889,18.88888888888889
2013-01-13 00:00:00,42.925999999999995,23.333333333333336,25.0,18.333333333333336
2013-01-14 00:00:00,12.953999999999999,19.444444444444446,21.11111111111111,16.11111111111111
2013-01-15 00:00:00,0.0,20.555555555555557,21.666666666666668,13.88888888888889
2013-01-16 00:00:00,0.0,21.11111111111111,23.333333333333336,16.11111111111111
2013-01-17 00:00:00,11.937999999999999,19.444444444444446,23.88888888888889,15.0
2013-01-18 00:00:00,0.0,17.77777777777778,18.333333333333336,12.222222222222223
2013-01-19 00:00:00,0.0,20.555555555555557,21.666666666666668,13.88888888888889
2013-01-20 00:00:00,0.508,22.22222222222222,23.333333333333336,15.555555555555557
2013-01-21 00:00:00,24.892,21.666666666666668,23.333333333333336,16.11111111111111
2013-01-22 00:00:00,0.0,23.333333333333336,25.555555555555557,16.11111111111111
2013-01-23 00:00:00,1.016,22.22222222222222,25.0,15.555555555555557
2013-01-24 00:00:00,1.016,22.77777777777778,25.0,17.22222222222222
2013-01-25 00:00:00,0.0,19.444444444444446,22.77777777777778,18.333333333333336
2013-01-26 00:00:00,21.081999999999997,21.11111111111111,22.22222222222222,15.0
2013-01-27 00:00:00,0.0,19.444444444444446,23.88888888888889,16.11111111111111
2013-01-28 00:00:00,11.937999999999999,19.444444444444446,21.666666666666668,13.88888888888889
2013-01-29 00:00:00,1.5239999999999998,21.11111111111111,22.77777777777778,15.0
2013-01-30 00:00:00,0.0,21.666666666666668,23.88888888888889,16.11111111111111
2013-01-31 00:00:00,1.016,21.11111111111111,23.333333333333336,16.11111111111111
2013-02-01 00:00:00,23.622,22.77777777777778,23.333333333333336,16.666666666666668
2013-02-02 00:00:00,1.27,23.88888888888889,24.444444444444446,18.333333333333336
2013-02-03 00:00:00,0.508,23.88888888888889,25.0,20.0
2013-02-04 00:00:00,0.0,23.88888888888889,26.11111111111111,20.0
2013-02-05 00:00:00,0.0,23.333333333333336,26.11111111111111,18.88888888888889
2013-02-06 00:00:00,0.0,23.333333333333336,25.555555555555557,20.555555555555557
2013-02-07 00:00:00,0.0,23.333333333333336,25.555555555555557,18.333333333333336
2013-02-08 00:00:00,1.778,20.0,22.77777777777778,18.333333333333336
2013-02-09 00:00:00,0.0,20.0,22.22222222222222,20.0
2013-02-10 00:00:00,3.8099999999999996,22.77777777777778,24.444444444444446,16.11111111111111
2013-02-11 00:00:00,2.032,22.77777777777778,23.88888888888889,18.333333333333336
2013-02-12 00:00:00,8.889999999999999,22.77777777777778,24.444444444444446,17.77777777777778
2013-02-13 00:00:00,9.143999999999998,21.666666666666668,22.22222222222222,17.22222222222222
2013-02-14 00:00:00,3.302,23.333333333333336,25.555555555555557,17.22222222222222
2013-02-15 00:00:00,0.0,23.333333333333336,26.11111111111111,19.444444444444446
2013-02-16 00:00:00,1.778,21.666666666666668,22.77777777777778,17.22222222222222
2013-02-17 00:00:00,2.2859999999999996,23.333333333333336,27.222222222222225,16.666666666666668
2013-02-18 00:00:00,0.0,23.88888888888889,25.555555555555557,18.333333333333336
2013-02-19 00:00:00,0.0,23.333333333333336,26.11111111111111,19.444444444444446
2013-02-20 00:00:00,2.54,20.555555555555557,23.333333333333336,16.11111111111111
2013-02-21 00:00:00,8.382,22.22222222222222,23.88888888888889,16.11111111111111
2013-02-22 00:00:00,0.508,22.22222222222222,24.444444444444446,17.77777777777778
2013-02-23 00:00:00,0.0,21.666666666666668,23.88888888888889,18.333333333333336
2013-02-24 00:00:00,,21.11111111111111,22.77777777777778,17.22222222222222
2013-02-25 00:00:00,0.7619999999999999,22.22222222222222,22.77777777777778,17.22222222222222
2013-02-26 00:00:00,1.27,22.77777777777778,23.88888888888889,17.77777777777778
2013-02-27 00:00:00,0.0,24.444444444444446,27.222222222222225,18.88888888888889
2013-02-28 00:00:00,2.2859999999999996,22.77777777777778,25.0,18.88888888888889
2013-03-01 00:00:00,0.0,23.333333333333336,26.11111111111111,18.333333333333336
2013-03-02 00:00:00,2.032,20.555555555555557,23.333333333333336,18.88888888888889
2013-03-03 00:00:00,2.2859999999999996,19.444444444444446,20.555555555555557,15.0
2013-03-04 00:00:00,3.302,19.444444444444446,21.666666666666668,15.0
2013-03-05 00:00:00,0.0,20.555555555555557,23.333333333333336,13.88888888888889
2013-03-06 00:00:00,0.508,20.555555555555557,22.22222222222222,16.11111111111111
2013-03-07 00:00:00,0.0,22.22222222222222,25.0,16.666666666666668
2013-03-08 00:00:00,0.0,22.22222222222222,25.0,17.22222222222222
